,,Deprecated,Preview,Reactions,Raw,Cached,Scopes,SNI,,,,HTTP Code,array of arrays,"array of hashrefs, paged",hash ref,Empty body,Array ref,authenticated user,Location,Sends array,params,
Repositories,,,,,,,,,List Tags,GET,/repos/:owner/:repo/tags,200,,x,,,,,,,,
Repositories,,,,,,,,,Delete a Repository,DELETE,/repos/:owner/:repo,204,,,,x,,,,,,application/vnd.github.loki-preview+json
Repositories,Branches,,x,,,,,,List Branches,GET,/repos/:owner/:repo/branches,200,,x,,,,,,,protected=B,application/vnd.github.loki-preview+json
Repositories,Branches,,x,,,,,,Get Branch,GET,/repos/:owner/:repo/branches/:branch,200,,,x,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,x,,,,,,Get branch protection,GET,/repos/:owner/:repo/branches/:branch/protection,,,,x,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Update branch protection,PUT,/repos/:owner/:repo/branches/:branch/protection,200,,,,,,,,,lots of stuff,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove branch protection,,,,,,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Get required status checks of protected branch,,,,,,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Update required status checks of protected branch,PATCH,/repos/:owner/:repo/branches/:branch/protection/required_status_checks,200,,,x,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove required status checks of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/required_status_checks,204,,,,x,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,List required status checks contexts of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Replace required status checks contexts of protected branch,PUT,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Add required status checks contexts of protected branch,POST,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove required status checks contexts of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/required_status_checks/contexts,200,,,,,x,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Get restrictions of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/restrictions,200,,,x,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove restrictions of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/restrictions,204,,,,x,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,List team restrictions of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Replace team restrictions of protected branch,PUT,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
